"MU","month","year","prcp","tmin","tmid","tmidC","tmax"
"KRV",5,2001,68.46875,290.417846679688,297.467239379883,24.3172393798828,304.516632080078
"KRV",6,2001,182.751052856445,294.345733642578,300.016998291016,26.8669982910156,305.688262939453
"KRV",7,2001,254.792251586914,295.599517822266,300.378799438477,27.2287994384766,305.158081054688
"KRV",8,2001,184.514038085938,295.413696289062,300.743423461914,27.5934234619141,306.073150634766
"KRV",9,2001,363.080718994141,294.322387695312,298.831878662109,25.6818786621094,303.341369628906
"KRV",10,2001,76.0740661621094,291.344360351562,296.389083862305,23.2390838623047,301.433807373047
"KRV",11,2001,25.3688659667969,288.243713378906,293.852951049805,20.7029510498047,299.462188720703
"KRV",12,2001,17.928638458252,286.730743408203,292.312591552734,19.1625915527344,297.894439697266
"KRV",1,2002,45.2188720703125,283.522491455078,290.087188720703,16.9371887207031,296.651885986328
"KRV",2,2002,93.6194458007812,283.197845458984,289.641098022461,16.491098022461,296.084350585938
"KRV",3,2002,18.1630516052246,287.501068115234,294.394546508789,21.2445465087891,301.288024902344
"KRV",4,2002,46.4213523864746,290.450714111328,296.878128051758,23.7281280517578,303.305541992188
"KRV",5,2002,64.3879852294922,292.308776855469,298.786437988281,25.6364379882813,305.264099121094
"KRV",6,2002,388.245452880859,294.803924560547,299.671264648438,26.5212646484375,304.538604736328
"KRV",7,2002,222.916275024414,295.766296386719,300.803863525391,27.6538635253906,305.841430664062
"KRV",8,2002,238.961380004883,295.53857421875,300.567306518555,27.4173065185547,305.596038818359
"KRV",9,2002,162.784698486328,296.344970703125,300.922454833984,27.7724548339844,305.499938964844
"KRV",10,2002,90.0988311767578,293.313201904297,298.695495605469,25.5454956054688,304.077789306641
"KRV",11,2002,93.8031997680664,285.270629882812,291.724975585938,18.5749755859375,298.179321289062
"KRV",12,2002,207.968673706055,282.985595703125,289.066024780273,15.9160247802735,295.146453857422
"KRV",1,2003,65.5665130615234,278.624114990234,285.796478271484,12.6464782714844,292.968841552734
"KRV",2,2003,45.8992195129395,284.556365966797,291.313415527344,18.1634155273438,298.070465087891
"KRV",3,2003,124.943199157715,289.872863769531,295.488571166992,22.3385711669922,301.104278564453
"KRV",4,2003,72.4213638305664,288.940307617188,295.362197875977,22.2121978759766,301.784088134766
"KRV",5,2003,96.7861251831055,293.556121826172,299.496078491211,26.346078491211,305.43603515625
"KRV",6,2003,308.289855957031,295.525543212891,300.193405151367,27.0434051513672,304.861267089844
"KRV",7,2003,175.003143310547,295.751922607422,301.027648925781,27.8776489257813,306.303375244141
"KRV",8,2003,246.247634887695,295.8232421875,300.576354980469,27.4263549804688,305.329467773438
"KRV",9,2003,156.242736816406,295.295043945312,300.024826049805,26.8748260498047,304.754608154297
"KRV",10,2003,31.1605014801025,292.129058837891,297.512100219727,24.3621002197266,302.895141601562
"KRV",11,2003,41.2877540588379,288.563415527344,294.556167602539,21.4061676025391,300.548919677734
"KRV",12,2003,66.1705627441406,281.963165283203,288.546829223633,15.3968292236328,295.130493164062
"KRV",1,2004,59.4955368041992,281.182434082031,288.380462646484,15.2304626464844,295.578491210938
"KRV",2,2004,100.541664123535,284.221313476562,290.484756469727,17.3347564697266,296.748199462891
"KRV",3,2004,27.9025115966797,286.145080566406,292.761016845703,19.6110168457031,299.376953125
