"","Nest","Year","Pop","Fledglings","TSI","invaded"
"515",515,2003,"EVER",2,-1,0
"516",516,2003,"EVER",1,-1,0
"517",517,2003,"EVER",1,-1,0
"518",518,2003,"EVER",1,-1,0
"519",519,2003,"EVER",1,-1,0
"520",520,2003,"EVER",2,-1,0
"521",521,2003,"EVER",1,-1,0
"522",522,2003,"EVER",1,-1,0
"523",523,2003,"EVER",1,-1,0
"524",524,2003,"EVER",1,-1,0
"525",525,2003,"EVER",1,-1,0
"526",526,2003,"EVER",2,-1,0
"527",527,2003,"EVER",2,-1,0
"528",528,2003,"EVER",2,-1,0
"529",529,2003,"EVER",1,-1,0
"530",530,2003,"KRV",2,-1,0
"531",531,2003,"KRV",2,-1,0
"532",532,2003,"KRV",2,-1,0
"533",533,2003,"KRV",3,-1,0
"534",534,2003,"KRV",1,-1,0
"535",535,2003,"KRV",1,-1,0
"536",536,2003,"KRV",2,-1,0
"537",537,2003,"OKEE",1,-1,0
"538",538,2003,"SJM",1,-1,0
"539",539,2003,"SJM",2,-1,0
"540",540,2003,"SJM",1,-1,0
"541",541,2004,"EVER",3,-1,0
"542",542,2004,"EVER",3,-1,0
"543",543,2004,"EVER",3,-1,0
"544",544,2004,"EVER",2,-1,0
"545",545,2004,"EVER",1,-1,0
"546",546,2004,"EVER",1,-1,0
"547",547,2004,"EVER",2,-1,0
"548",548,2004,"EVER",1,-1,0
"549",549,2004,"EVER",1,-1,0
"550",550,2004,"EVER",2,-1,0
"551",551,2004,"EVER",2,-1,0
"552",552,2004,"EVER",1,-1,0
"553",553,2004,"EVER",3,-1,0
"554",554,2004,"EVER",2,-1,0
"555",555,2004,"EVER",2,-1,0
"556",556,2004,"EVER",2,-1,0
"557",557,2004,"EVER",2,-1,0
"558",558,2004,"EVER",1,-1,0
"559",559,2004,"EVER",1,-1,0
"560",560,2004,"EVER",1,-1,0
"561",561,2004,"EVER",1,-1,0
"562",562,2004,"EVER",3,-1,0
"563",563,2004,"EVER",2,-1,0
"564",564,2004,"EVER",2,-1,0
"565",565,2004,"EVER",1,-1,0
"566",566,2004,"EVER",2,-1,0
"567",567,2004,"EVER",1,-1,0
"568",568,2004,"EVER",2,-1,0
"569",569,2004,"EVER",2,-1,0
"570",570,2004,"EVER",2,-1,0
"571",571,2004,"EVER",1,-1,0
"572",572,2004,"KRV",2,0,1
"573",573,2004,"KRV",2,0,1
"574",574,2004,"KRV",2,0,1
"575",575,2004,"OKEE",1,-1,0
"576",576,2004,"OKEE",1,-1,0
"577",577,2004,"OKEE",2,-1,0
"578",578,2004,"SJM",2,-1,0
"579",579,2004,"SJM",2,-1,0
"580",580,2004,"SJM",1,-1,0
"581",581,2004,"SJM",2,-1,0
"582",582,2005,"EAST",1,-1,0
"583",583,2005,"KRV",2,1,1
"584",584,2005,"KRV",3,1,1
"585",585,2005,"KRV",2,1,1
